"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.31894516944885254,0.31894516944885254,0.043164532631635666,0.31894516944885254
Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,"False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,"True, True","False, False","True, False","False, True",D,ori_mmlu-abstract_algebra,False,0.7112345099449158,0.09625512361526489,0.09625512361526489,0.09625512361526489
"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.","True, True","False, False","False, True","True, False",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",11,2,5,1,D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,(x − 2)(x + 2)(x − 1),(x + 1)(x + 4)(x − 2),(x - 1)(x − 4)(x − 2),(x + 1)(x − 4)(x − 2),D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,"True, True","False, True","True, False","False, False",D,ori_mmlu-abstract_algebra,False,0.31894516944885254,0.31894516944885254,0.043164532631635666,0.31894516944885254
The set of all real numbers under the usual multiplication operation is not a group since,multiplication is not a binary operation,multiplication is not associative,identity element does not exist,zero has no inverse,D,ori_mmlu-abstract_algebra,False,0.054064586758613586,0.14696279168128967,0.3994862735271454,0.3994862735271454
Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,"False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.7112345099449158,0.09625512361526489,0.09625512361526489,0.09625512361526489
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",x^2 + 1,6x^2 + 4x + 6,0,2x^2 + 5,D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.","True, True","False, False","True, False","False, True",D,ori_mmlu-abstract_algebra,False,0.7112345099449158,0.09625512361526489,0.09625512361526489,0.09625512361526489
The set of all nth roots of unity under multiplication of complex numbers form a/an,semi group with identity,commutative semigroups with identity,group,abelian group,D,ori_mmlu-abstract_algebra,False,0.051778849214315414,0.08536889404058456,0.6307955384254456,0.23205672204494476
"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.","True, True","False, True","True, False","False, False",D,ori_mmlu-abstract_algebra,False,0.31894516944885254,0.31894516944885254,0.043164532631635666,0.31894516944885254
Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,"True, True","False, False","False, True","True, False",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. 8x^3 + 6x^2 - 9x + 24,"Yes, with p=2.",No.,"Yes, with p=5.","Yes, with p=3.",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.,"True, True","False, False","True, False","False, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,"False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.44039851427078247,0.05960145592689514,0.05960145592689514,0.44039851427078247
"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.","True, True","False, True","True, False","False, False",D,ori_mmlu-abstract_algebra,False,0.44039857387542725,0.44039857387542725,0.05960146337747574,0.05960146337747574
"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.","False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"Some group (G, 0) is known to be abelian. Then which one of the following is TRUE for G?",g = g^-1 for every g in G,g = g^2 for every g in G,G is of finite order,"(g o h)^2 = g^2 o h^2 for every g,h in G",D,ori_mmlu-abstract_algebra,False,0.40878722071647644,0.09121275693178177,0.09121275693178177,0.40878722071647644
"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.","False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Compute the product in the given ring. (20)(-8) in Z_26,0,1,11,22,D,ori_mmlu-abstract_algebra,False,0.17487770318984985,0.17487770318984985,0.47536686062812805,0.17487770318984985
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. x^2 - 12,"Yes, with p=2.",No.,"Yes, with p=5.","Yes, with p=3.",D,ori_mmlu-abstract_algebra,False,0.05960146337747574,0.05960146337747574,0.44039857387542725,0.44039857387542725
Find the generator for the finite field Z_7.,1,2,4,3,D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | Every permutation is a cycle. Statement 2 | Every cycle is a permutation.,"True, True","False, False","True, False","False, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"The set of integers Z with the binary operation ""*"" defined as a*b =a +b+ 1 for a, b in Z, is a group. The identity element of this group is",0,1,12,-1,D,ori_mmlu-abstract_algebra,False,0.15705977380275726,0.4269327223300934,0.25894778966903687,0.15705977380275726
Find the characteristic of the ring Z_3 x 3Z.,30,3,12,0,D,ori_mmlu-abstract_algebra,True,0.09625513106584549,0.09625513106584549,0.09625513106584549,0.7112345695495605
Statement 1 | Some abelian group of order 45 has a subgroup of order 10. Statement 2 | A subgroup H of a group G is a normal subgroup if and only if thenumber of left cosets of H is equal to the number of right cosets of H.,"True, True","False, True","True, False","False, False",D,ori_mmlu-abstract_algebra,False,0.7112345099449158,0.09625512361526489,0.09625512361526489,0.09625512361526489
Statement 1 | Every integral domain with characteristic 0 is infinite. Statement 2 | Every integral domain with prime characteristic is finite.,"True, True","False, False","False, True","True, False",D,ori_mmlu-abstract_algebra,False,0.7112345099449158,0.09625512361526489,0.09625512361526489,0.09625512361526489
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.","True, True","False, False","False, True","True, False",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.","True, True","False, False","False, True","True, False",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | A homomorphism may have an empty kernel. Statement 2 | It is not possible to have a nontrivial homomorphism of some finite group into some infinite group.,"True, True","False, True","True, False","False, False",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Find all c in Z_3 such that Z_3[x]/(x^3 + x^2 + c) is a field.,0,3,1,2,D,ori_mmlu-abstract_algebra,False,0.15705977380275726,0.15705977380275726,0.4269327223300934,0.25894778966903687
"Statement 1 | If a R is an integral domain, then R[x] is an integral domain. Statement 2 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)g(x)) = deg f(x) + deg g(x).","True, True","False, False","False, True","True, False",D,ori_mmlu-abstract_algebra,False,0.7112345099449158,0.09625512361526489,0.09625512361526489,0.09625512361526489
Find the maximum possible order for some element of Z_8 x Z_10 x Z_24.,8,24,240,120,D,ori_mmlu-abstract_algebra,False,0.08259453624486923,0.08259453624486923,0.6102956533432007,0.22451522946357727
Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.,"True, True","False, False","True, False","False, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Find all c in Z_3 such that Z_3[x]/(x^3 + cx^2 + 1) is a field.,0,3,1,2,D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"In the group G = {2, 4, 6, 8) under multiplication modulo 10, the identity element is",2,8,4,6,D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
"Statement 1 | If G, H and K are groups of order 4, at least two of them are isomorphic. Statement 2 | If Z_r + Z_s is isomorphic to a subgroup Z_m + Z_n, then r divides m and s divides n.","True, True","False, False","False, True","True, False",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.,"False, True","False, False","True, False","True, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Statement 1 | 4x - 2 is irreducible over Z. Statement 2 | 4x - 2 is irreducible over Q.,"True, True","False, False","True, False","False, True",D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
Find the generator for the finite field Z_11.,1,4,3,2,D,ori_mmlu-abstract_algebra,False,0.25,0.25,0.25,0.25
